part_name,category,compatible_fuels,symptoms_if_broken,image_filename
Brake Hose,Braking system,gasoline;diesel;hybrid;electric,Brake fluid leak;spongy pedal;restricted braking;vehicle pulling,brake_hose.jpg
Brake Line / Pipe,Braking system,gasoline;diesel;hybrid;electric,Brake fluid leak;total brake failure;spongy pedal,brake_line___pipe.jpg
Brake Caliper Repair Kit,Braking system,gasoline;diesel;hybrid;electric,Seized caliper;uneven brake wear;overheating brakes,brake_caliper_repair_kit.jpg
Brake Caliper Bracket / Mount,Braking system,gasoline;diesel;hybrid;electric,Caliper misalignment;uneven pad wear;noise when braking,brake_caliper_bracket___mount.jpg
Handbrake Cable,Braking system,gasoline;diesel;hybrid;electric,Handbrake not holding vehicle;slack or stuck handbrake lever,handbrake_cable.jpg
Electronic Parking Brake Actuator,Braking system,gasoline;diesel;hybrid;electric,Parking brake not engaging/releasing;warning light on,electronic_parking_brake_actuator.jpg
ABS Sensor / Wheel Speed Sensor,Braking system,gasoline;diesel;hybrid;electric,ABS warning light;ABS not activating;traction control issues,error.jpg
ABS Control Module,Braking system,gasoline;diesel;hybrid;electric,ABS light on;ABS inoperative;stability control failure,abs_control_module.jpg
Brake Pad Wear Sensor,Braking system,gasoline;diesel;hybrid;electric,Warning light not alerting worn pads;no early wear indication,brake_pad_wear_sensor.jpg
Brake Disc Dust Shield / Splash Guard,Braking system,gasoline;diesel;hybrid;electric,Increased disc contamination;noise from debris contact,brake_disc_dust_shield___splash_guard.jpg
Brake Proportioning Valve,Braking system,gasoline;diesel;hybrid;electric,Rear wheels locking up prematurely;uneven braking balance,error.jpg
Brake Pressure Regulator,Braking system,gasoline;diesel;hybrid;electric,Unequal front/rear braking;wheel lockup,brake_pressure_regulator.jpg
Brake Fluid Reservoir,Braking system,gasoline;diesel;hybrid;electric,Brake fluid leak;air in brake lines;brake failure,brake_fluid_reservoir.jpg
Air Filter (engine),Filters,gasoline;diesel;hybrid,Reduced engine power;poor fuel economy;rough idle;black smoke,air_filter_engine.jpg
Cabin Air Filter / Pollen Filter,Filters,gasoline;diesel;hybrid;electric,Bad odors in cabin;reduced HVAC airflow;poor air quality,cabin_air_filter___pollen_filter.jpg
Oil Filter,Filters,gasoline;diesel;hybrid,Contaminated engine oil;accelerated engine wear;oil pressure issues,oil_filter.jpg
Fuel Filter,Filters,gasoline;diesel;hybrid,Engine hesitation;poor acceleration;stalling;hard starting,fuel_filter.jpg
Diesel Particulate Filter (DPF),Filters,diesel;hybrid,Loss of power;increased fuel consumption;DPF warning light,diesel_particulate_filter_dpf.jpg
Transmission Filter,Filters,gasoline;diesel;hybrid,Rough shifting;transmission slipping;overheating gearbox,transmission_filter.jpg
Hydraulic Filter,Filters,gasoline;diesel;hybrid,Loss of hydraulic pressure;erratic system operation,hydraulic_filter.jpg
Crankcase Ventilation Filter / PCV Filter,Filters,gasoline;diesel;hybrid,Excessive oil consumption;rough idle;oil leaks,crankcase_ventilation_filter___pcv_filter.jpg
Fuel Vapor Canister Filter,Filters,gasoline;diesel;hybrid,Fuel smell;evaporative emission faults;rough idle,fuel_vapor_canister_filter.jpg
Intercooler Charge Air Filter,Filters,diesel;gasoline;hybrid,Reduced turbo efficiency;dirty charge air,intercooler_charge_air_filter.jpg
Water Separator Filter,Filters,diesel;hybrid,Water in fuel causing misfires;injector damage,water_separator_filter.jpg
Hydraulic Steering Filter,Filters,gasoline;diesel;hybrid,Whining steering pump;erratic power steering response,hydraulic_steering_filter.jpg
Engine Block,Engine,gasoline;diesel;hybrid,Coolant/oil leaks;overheating;loss of compression;catastrophic failure,engine_block.jpg
Cylinder Head,Engine,gasoline;diesel;hybrid,Overheating;white exhaust smoke;coolant in oil;loss of compression,cylinder_head.jpg
Piston,Engine,gasoline;diesel;hybrid,Blue/white smoke;loss of power;excessive oil consumption;knocking,piston.jpg
Piston Ring Set,Engine,gasoline;diesel;hybrid,Blue exhaust smoke;poor compression;oil fouled spark plugs,piston_ring_set.jpg
Connecting Rod,Engine,gasoline;diesel;hybrid,Knocking noise;engine vibration;catastrophic engine failure,connecting_rod.jpg
Crankshaft,Engine,gasoline;diesel;hybrid,Engine knock;vibration;complete engine failure,crankshaft.jpg
Camshaft,Engine,gasoline;diesel;hybrid,Rough idle;misfires;loss of power;valve timing issues,camshaft.jpg
Camshaft Bearing,Engine,gasoline;diesel;hybrid,Ticking/knocking noise;oil pressure loss;engine damage,camshaft_bearing.jpg
Valve (intake/exhaust),Engine,gasoline;diesel;hybrid,Loss of compression;misfires;rough idle;poor performance,valve_intake_exhaust.jpg
Valve Spring,Engine,gasoline;diesel;hybrid,Misfires;valve bounce at high RPM;loss of power,valve_spring.jpg
Valve Guide,Engine,gasoline;diesel;hybrid,Excessive oil consumption;blue smoke;valve stem wear,valve_guide.jpg
Valve Seat,Engine,gasoline;diesel;hybrid,Compression loss;valve burning;rough idle,valve_seat.jpg
Rocker Arm,Engine,gasoline;diesel;hybrid,Ticking noise;misfires;poor valve actuation,rocker_arm.jpg
Rocker Arm Shaft,Engine,gasoline;diesel;hybrid,Ticking noise;oil pressure issues;valve train damage,rocker_arm_shaft.jpg
Push Rod,Engine,gasoline;diesel;hybrid,Misfires;ticking;bent rod causing valve damage,push_rod.jpg
Lifter / Tappet (hydraulic or solid),Engine,gasoline;diesel;hybrid,Ticking noise;rough idle;poor valve opening,lifter___tappet_hydraulic_or_solid.jpg
Variable Valve Timing (VVT) Actuator / Phaser,Engine,gasoline;diesel;hybrid,Rough idle;loss of power;engine warning light;poor fuel economy,variable_valve_timing_vvt_actuator___phaser.jpg
Oil Pump,Engine,gasoline;diesel;hybrid,Low oil pressure warning;engine knock;accelerated wear;seizure,oil_pump.jpg
Oil Sump / Oil Pan,Engine,gasoline;diesel;hybrid,Oil leak;low oil level;engine damage from oil starvation,oil_sump___oil_pan.jpg
Oil Sump Gasket,Engine,gasoline;diesel;hybrid,Oil leak from engine base;low oil level,oil_sump_gasket.jpg
Oil Sump Drain Plug,Engine,gasoline;diesel;hybrid,Oil leak;oil loss during drain,oil_sump_drain_plug.jpg
Timing Cover,Engine,gasoline;diesel;hybrid,Oil leak;timing chain/belt damage from exposure,timing_cover.jpg
Engine Mount / Motor Mount,Engine,gasoline;diesel;hybrid;electric,Excessive engine vibration;clunking noise;vibration felt in cabin,engine_mount___motor_mount.jpg
Flywheel,Engine,gasoline;diesel;hybrid,Difficulty starting;gear engagement issues;clutch chatter;vibration,flywheel.jpg
Flex Plate,Engine,gasoline;diesel;hybrid,Cracking noise;starter engagement issues;vibration,flex_plate.jpg
Harmonic Balancer / Crankshaft Pulley,Engine,gasoline;diesel;hybrid,Vibration;belt misalignment;rattling noise;engine damage,harmonic_balancer___crankshaft_pulley.jpg
Crankshaft Pulley Bolt,Engine,gasoline;diesel;hybrid,Pulley detachment;belt loss;engine damage,crankshaft_pulley_bolt.jpg
Intake Manifold,Engine,gasoline;diesel;hybrid,Vacuum leaks;rough idle;poor performance;coolant leaks,intake_manifold.jpg
Exhaust Manifold,Engine,gasoline;diesel;hybrid,Ticking/hissing noise;exhaust smell in cabin;power loss,exhaust_manifold.jpg
Engine Valve Cover,Engine,gasoline;diesel;hybrid,Oil leaks;oil burning smell;fouled spark plugs,engine_valve_cover.jpg
Valve Cover Gasket,Engine,gasoline;diesel;hybrid,Oil leak from top of engine;oil smell,valve_cover_gasket.jpg
Head Gasket,Engine,gasoline;diesel;hybrid,White smoke;coolant in oil;overheating;loss of compression,head_gasket.jpg
Intake Manifold Gasket,Engine,gasoline;diesel;hybrid,Vacuum leak;rough idle;coolant/oil leak,intake_manifold_gasket.jpg
Exhaust Manifold Gasket,Engine,gasoline;diesel;hybrid,Ticking noise;exhaust smell;burnt smell from engine bay,exhaust_manifold_gasket.jpg
Windshield Washer Pump,Windshield cleaning system,gasoline;diesel;hybrid;electric,No washer fluid spray;intermittent or weak spray,windshield_washer_pump.jpg
Windshield Washer Reservoir / Tank,Windshield cleaning system,gasoline;diesel;hybrid;electric,Fluid leaking;insufficient fluid storage;pump not priming,windshield_washer_reservoir___tank.jpg
Windshield Wiper Motor (front),Windshield cleaning system,gasoline;diesel;hybrid;electric,Wipers not moving or moving slowly;wipers stopping mid-sweep,windshield_wiper_motor_front.jpg
Windshield Wiper Motor (rear),Windshield cleaning system,gasoline;diesel;hybrid;electric,Rear wiper not working;slow or erratic rear wiper movement,windshield_wiper_motor_rear.jpg
Wiper Linkage / Mechanism,Windshield cleaning system,gasoline;diesel;hybrid;electric,Wipers moving erratically;not sweeping correctly;clunking noise,wiper_linkage___mechanism.jpg
Wiper Blade (front),Windshield cleaning system,gasoline;diesel;hybrid;electric,Streaking;poor visibility in rain;squeaking noise,wiper_blade_front.jpg
Wiper Blade (rear),Windshield cleaning system,gasoline;diesel;hybrid;electric,Poor rear visibility in rain;streaking on rear window,wiper_blade_rear.jpg
Wiper Arm (front),Windshield cleaning system,gasoline;diesel;hybrid;electric,Wiper blade not making contact;blade flying off at speed,wiper_arm_front.jpg
Wiper Arm (rear),Windshield cleaning system,gasoline;diesel;hybrid;electric,Rear wiper blade not pressing correctly against glass,wiper_arm_rear.jpg
Washer Jet / Nozzle,Windshield cleaning system,gasoline;diesel;hybrid;electric,No fluid spray;misaligned spray direction;blocked jet,washer_jet___nozzle.jpg
Washer Hose / Pipe,Windshield cleaning system,gasoline;diesel;hybrid;electric,Fluid leaking under hood;no spray at nozzle,washer_hose___pipe.jpg
Washer Fluid Heating Element,Windshield cleaning system,gasoline;diesel;hybrid;electric,Frozen washer fluid in cold weather;no spray in winter,washer_fluid_heating_element.jpg
Headlight Washer Pump,Windshield cleaning system,gasoline;diesel;hybrid;electric,No headlight cleaning;reduced light output in dirty conditions,headlight_washer_pump.jpg
Headlight Washer Nozzle,Windshield cleaning system,gasoline;diesel;hybrid;electric,No headlight wash spray;misaligned cleaning,headlight_washer_nozzle.jpg
Wiper Switch / Stalk,Windshield cleaning system,gasoline;diesel;hybrid;electric,Wipers not responding to controls;incorrect speed selection,wiper_switch___stalk.jpg
Spark Plug,Ignition system and glow plugs,gasoline;hybrid,Misfires;rough idle;poor fuel economy;hard starting;engine hesitation,spark_plug.jpg
Glow Plug,Ignition system and glow plugs,diesel;hybrid,Hard cold starting;white smoke on startup;rough cold idle,glow_plug.jpg
Glow Plug Control Unit / Timer,Ignition system and glow plugs,diesel;hybrid,Hard starting;glow plug warning light;slow preheating,glow_plug_control_unit___timer.jpg
Ignition Coil,Ignition system and glow plugs,gasoline;hybrid,Misfires;rough idle;check engine light;loss of power,ignition_coil.jpg
Distributor,Ignition system and glow plugs,gasoline,Misfires;rough idle;engine won't start;ignition timing issues,distributor.jpg
Distributor Cap,Ignition system and glow plugs,gasoline,Misfires;hard starting;rough idle;engine hesitation,distributor_cap.jpg
Distributor Rotor,Ignition system and glow plugs,gasoline,Misfires;rough idle;hard starting;poor performance,distributor_rotor.jpg
Ignition Module / Igniter,Ignition system and glow plugs,gasoline;hybrid,Engine won't start;stalling;no spark;misfires,ignition_module___igniter.jpg
Ignition Control Unit (ICU / ECU ignition),Ignition system and glow plugs,gasoline;hybrid,No start;random misfires;engine stalling,ignition_control_unit_icu___ecu_ignition.jpg
Ignition Switch,Ignition system and glow plugs,gasoline;diesel;hybrid,Car won't start;electrical accessories not working;stalling while driving,ignition_switch.jpg
Spark Plug Wire Set / HT Leads,Ignition system and glow plugs,gasoline;hybrid,Misfires;rough idle;poor acceleration;arcing noise,spark_plug_wire_set___ht_leads.jpg
Crankshaft Position Sensor (CKP),Ignition system and glow plugs,gasoline;diesel;hybrid,Engine won't start;stalling;misfires;check engine light,crankshaft_position_sensor_ckp.jpg
Camshaft Position Sensor (CMP),Ignition system and glow plugs,gasoline;diesel;hybrid,Rough idle;stalling;hard starting;poor performance,camshaft_position_sensor_cmp.jpg
Knock Sensor,Ignition system and glow plugs,gasoline;diesel;hybrid,Engine knock;reduced power;check engine light;poor fuel economy,knock_sensor.jpg
Ignition Timing Adjuster,Ignition system and glow plugs,gasoline,Rough idle;poor performance;engine knock,ignition_timing_adjuster.jpg
Shock Absorber / Damper (front),Suspension rods,gasoline;diesel;hybrid;electric,Excessive bouncing;poor handling;nose diving when braking;uneven tire wear,shock_absorber___damper_front.jpg
Shock Absorber / Damper (rear),Suspension rods,gasoline;diesel;hybrid;electric,Excessive rear bounce;swaying;poor ride quality,shock_absorber___damper_rear.jpg
Coil Spring (front),Suspension rods,gasoline;diesel;hybrid;electric,Vehicle sagging;harsh ride;clunking noise;handling issues,coil_spring_front.jpg
Coil Spring (rear),Suspension rods,gasoline;diesel;hybrid;electric,Rear sagging;harsh ride;knocking noise over bumps,coil_spring_rear.jpg
Leaf Spring,Suspension rods,gasoline;diesel;hybrid;electric,Sagging rear;poor load handling;squeaking;breaking,leaf_spring.jpg
Torsion Bar,Suspension rods,gasoline;diesel;hybrid;electric,Uneven ride height;poor handling;clunking noise,torsion_bar.jpg
Strut Assembly (MacPherson),Suspension rods,gasoline;diesel;hybrid;electric,Excessive bounce;noise over bumps;poor steering response,strut_assembly_macpherson.jpg
Strut Mount / Top Mount,Suspension rods,gasoline;diesel;hybrid;electric,Knocking noise on turns;poor steering feel;uneven tire wear,strut_mount___top_mount.jpg
Strut Bearing / Thrust Bearing,Suspension rods,gasoline;diesel;hybrid;electric,Creaking on steering;knocking from suspension,strut_bearing___thrust_bearing.jpg
Control Arm (upper),Suspension rods,gasoline;diesel;hybrid;electric,Clunking;poor alignment;pulling to one side;uneven wear,control_arm_upper.jpg
Control Arm (lower),Suspension rods,gasoline;diesel;hybrid;electric,Clunking;poor handling;pulling;uneven tire wear,control_arm_lower.jpg
Control Arm Bushing,Suspension rods,gasoline;diesel;hybrid;electric,Vibration;clunking;poor alignment;uneven tire wear,control_arm_bushing.jpg
Ball Joint (upper),Suspension rods,gasoline;diesel;hybrid;electric,Clunking noise;wandering steering;tire wear;dangerous failure risk,ball_joint_upper.jpg
Ball Joint (lower),Suspension rods,gasoline;diesel;hybrid;electric,Clunking;poor handling;pulling;wheel separation risk,ball_joint_lower.jpg
Tie Rod End (inner),Suspension rods,gasoline;diesel;hybrid;electric,Loose steering;clunking;uneven tire wear;poor alignment,tie_rod_end_inner.jpg
Tie Rod End (outer),Suspension rods,gasoline;diesel;hybrid;electric,Loose steering;pulling;clunking;uneven tire wear,tie_rod_end_outer.jpg
Steering Rack / Rack and Pinion,Suspension rods,gasoline;diesel;hybrid;electric,Wandering steering;loose steering;fluid leak;clunking,steering_rack___rack_and_pinion.jpg
Steering Rack Boots / Bellows,Suspension rods,gasoline;diesel;hybrid;electric,Torn boots allowing contamination;clunking;stiff steering,steering_rack_boots___bellows.jpg
Power Steering Pump,Suspension rods,gasoline;diesel;hybrid,Heavy steering;whining noise;fluid leak,power_steering_pump.jpg
Power Steering Hose,Suspension rods,gasoline;diesel;hybrid,Power steering fluid leak;loss of steering assistance,power_steering_hose.jpg
Steering Column,Suspension rods,gasoline;diesel;hybrid;electric,Stiff or loose steering;knocking;airbag light on,steering_column.jpg
Steering Column Universal Joint (UJ),Suspension rods,gasoline;diesel;hybrid;electric,Clunking on turns;loose or stiff steering,steering_column_universal_joint_uj.jpg
Stabilizer Bar / Anti-Roll Bar,Suspension rods,gasoline;diesel;hybrid;electric,Excessive body roll;clunking;poor handling in corners,stabilizer_bar___anti-roll_bar.jpg
Stabilizer Bar Link / Drop Link,Suspension rods,gasoline;diesel;hybrid;electric,Rattling/clunking over bumps;increased body roll,stabilizer_bar_link___drop_link.jpg
Stabilizer Bar Bushing,Suspension rods,gasoline;diesel;hybrid;electric,Clunking;squeaking;increased body roll,stabilizer_bar_bushing.jpg
Trailing Arm,Suspension rods,gasoline;diesel;hybrid;electric,Pulling to one side;clunking;poor alignment,trailing_arm.jpg
Trailing Arm Bushing,Suspension rods,gasoline;diesel;hybrid;electric,Clunking;vibration;misalignment,trailing_arm_bushing.jpg
Subframe / Crossmember,Suspension rods,gasoline;diesel;hybrid;electric,Handling issues;knocking;structural misalignment,subframe___crossmember.jpg
Subframe Bushing,Suspension rods,gasoline;diesel;hybrid;electric,Vibration;clunking;poor handling,subframe_bushing.jpg
Wheel Hub / Hub Assembly,Suspension rods,gasoline;diesel;hybrid;electric,Humming/grinding noise;wheel wobble;ABS issues,wheel_hub___hub_assembly.jpg
Knuckle / Upright / Spindle,Suspension rods,gasoline;diesel;hybrid;electric,Poor alignment;handling issues after impact,knuckle___upright___spindle.jpg
Battery (12V lead-acid),Electrical,gasoline;diesel;hybrid;electric,Engine won't start;slow cranking;electrical failures,battery_12v_lead-acid.jpg
Battery (High Voltage / EV Traction),Electrical,hybrid;electric,Loss of range;power reduction;battery warning light;vehicle shutdown,battery_high_voltage___ev_traction.jpg
Alternator,Electrical,gasoline;diesel;hybrid,Battery warning light;battery drain;dim lights;electrical failures,alternator.jpg
Starter Motor,Electrical,gasoline;diesel;hybrid,Engine won't crank;slow cranking;clicking noise when starting,starter_motor.jpg
Starter Solenoid,Electrical,gasoline;diesel;hybrid,No click when starting;engine won't crank;intermittent starting,starter_solenoid.jpg
Voltage Regulator,Electrical,gasoline;diesel;hybrid,Overcharging battery;electrical faults;battery warning light,voltage_regulator.jpg
Fuse Box / Fusebox,Electrical,gasoline;diesel;hybrid;electric,Multiple electrical failures;blown fuses;system outages,fuse_box___fusebox.jpg
Fuse,Electrical,gasoline;diesel;hybrid;electric,Loss of specific electrical circuit or component,fuse.jpg
Relay,Electrical,gasoline;diesel;hybrid;electric,Electrical component not functioning;clicking noise;intermittent failures,relay.jpg
Wiring Harness,Electrical,gasoline;diesel;hybrid;electric,Multiple electrical faults;short circuits;component failures,wiring_harness.jpg
Ground Strap / Earth Cable,Electrical,gasoline;diesel;hybrid;electric,Electrical gremlins;hard starting;component malfunctions,ground_strap___earth_cable.jpg
Positive Battery Cable,Electrical,gasoline;diesel;hybrid;electric,No power;vehicle not starting;electrical failures,positive_battery_cable.jpg
Negative Battery Cable,Electrical,gasoline;diesel;hybrid;electric,Electrical malfunctions;hard starting;ground faults,negative_battery_cable.jpg
Battery Terminal / Clamp,Electrical,gasoline;diesel;hybrid;electric,Corrosion;intermittent power loss;hard starting,battery_terminal___clamp.jpg
Horn,Electrical,gasoline;diesel;hybrid;electric,No horn sound;weak horn sound,horn.jpg
Clock Spring / Spiral Cable,Electrical,gasoline;diesel;hybrid;electric,Airbag light on;horn not working;steering controls unresponsive,clock_spring___spiral_cable.jpg
Inverter (EV/Hybrid),Electrical,hybrid;electric,Loss of power;vehicle warning light;reduced performance,inverter_ev_hybrid.jpg
DC-DC Converter,Electrical,hybrid;electric,12V battery drain;electrical accessories failing,dc-dc_converter.jpg
On-Board Charger (OBC),Electrical,electric;hybrid,Unable to charge battery;slow charging;charging fault light,on-board_charger_obc.jpg
Charging Port / Inlet,Electrical,electric;hybrid,Unable to connect charger;poor charging connection;charging failures,charging_port___inlet.jpg
Charge Cable / EVSE Cable,Electrical,electric;hybrid,Unable to charge vehicle;intermittent charging,charge_cable___evse_cable.jpg
Brake Light Switch,Electrical,gasoline;diesel;hybrid;electric,Brake lights not working;cruise control not disengaging;ABS issues,brake_light_switch.jpg
Brake Light Bulb,Electrical,gasoline;diesel;hybrid;electric,Brake lights not functioning;rear-end collision risk,brake_light_bulb.jpg
Turn Signal Flasher / Relay,Electrical,gasoline;diesel;hybrid;electric,Turn signals not flashing or too fast/slow,error.jpg
Central Locking Module,Electrical,gasoline;diesel;hybrid;electric,Doors not locking/unlocking remotely;one door not responding,central_locking_module.jpg
Window Regulator Motor,Electrical,gasoline;diesel;hybrid;electric,Power window not moving;slow window movement;window off track,window_regulator_motor.jpg
Window Regulator Mechanism,Electrical,gasoline;diesel;hybrid;electric,Window not moving;window falling down;grinding noise,window_regulator_mechanism.jpg
Mirror Motor,Electrical,gasoline;diesel;hybrid;electric,Mirror not adjusting electrically,mirror_motor.jpg
Mirror Heating Element,Electrical,gasoline;diesel;hybrid;electric,Mirror not defogging in cold weather,mirror_heating_element.jpg
Seat Heating Element,Electrical,gasoline;diesel;hybrid;electric,Seat not warming;uneven heating;warning light,seat_heating_element.jpg
Sunroof Motor,Electrical,gasoline;diesel;hybrid;electric,Sunroof not opening or closing;stuck mid-position,sunroof_motor.jpg
Radiator Fan Motor,Electrical,gasoline;diesel;hybrid;electric,Engine overheating;fan not spinning;overheating at idle,radiator_fan_motor.jpg
Fuel Pump (electric),Electrical,gasoline;diesel;hybrid,Engine stalling;hard starting;loss of power;fuel delivery issues,fuel_pump_electric.jpg
Condenser Fan Motor,Electrical,gasoline;diesel;hybrid;electric,AC not cooling;compressor overheating,condenser_fan_motor.jpg
Wiper Motor Relay,Electrical,gasoline;diesel;hybrid;electric,Wipers not working or stuck on,wiper_motor_relay.jpg
Blower Motor Resistor,Electrical,gasoline;diesel;hybrid;electric,Fan only works on certain speeds;no fan at low settings,blower_motor_resistor.jpg
Engine Control Unit (ECU / PCM),Depreciation,gasoline;diesel;hybrid;electric,Check engine light;poor performance;starting issues;multiple faults,engine_control_unit_ecu___pcm.jpg
Transmission Control Unit (TCU),Depreciation,gasoline;diesel;hybrid,Erratic shifting;transmission warning light;wrong gear selection,transmission_control_unit_tcu.jpg
Body Control Module (BCM),Depreciation,gasoline;diesel;hybrid;electric,Multiple electrical failures;lighting issues;central locking faults,body_control_module_bcm.jpg
ABS / ESP Control Module,Depreciation,gasoline;diesel;hybrid;electric,ABS/ESP warning light;disabled stability control,abs___esp_control_module.jpg
