Name,Causes,OtherDetails,ImageName
Air Suspension Indicator,Problem with the air suspension bags | Leak in the system | Inflation issue,"Indicates a malfunction in the air suspension system. The vehicle may ride lower than usual or handle poorly.",car-dashboard-symbols-air-suspension.jpg
Low Beam Indicator,Dipped beam (low beam) headlights are turned on,"Illuminates to confirm that the normal nighttime driving lights are active.",car-dashboard-symbols-low-beam-indicator-light.jpg
Lamp Out Indicator,Exterior light on the vehicle is not functioning properly | Burnt out bulb,"The driver should inspect all exterior lights (headlights, taillights, turn signals) and replace the defective bulb.",car-dashboard-symbols-lamp-out.jpg
High Beam Indicator,High beam headlights are turned on | High beam flash function is being used,"Indicates maximum forward illumination is active. The driver should dim the lights for oncoming traffic.",car-dashboard-symbols-high-beam-light-indicator.jpg
Headlight Range Control Indicator,Issue detected with the headlight range control system,"The system that automatically adjusts the headlight aim angle may be malfunctioning.",car-dashboard-symbols-headlight-range-control.jpg
Front Fog Lights Indicator,Front fog lights are manually turned on,"Illuminates to confirm front fog lights are active for better visibility in poor weather conditions.",car-dashboard-symbols-front-fog-light.jpg
Exterior Light Fault Indicator,Any exterior light on the car is not working,"Similar to the Lamp Out indicator. Inspect and replace the faulty exterior bulb.",car-dashboard-symbols-exterior-light-fault.jpg
Auto High Beam Indicator,Auto High Beam system has automatically switched on the high beams,"Confirms the automatic headlight system is actively managing the high beams based on surrounding traffic.",car-dashboard-symbols-auto-high-beam.jpg
Adaptive Light System Indicator,Adaptive headlights are turned on,"Indicates the headlights will pivot and adjust their beam according to the steering wheel angle and vehicle speed.",car-dashboard-symbols-adaptive-light-system.jpg
Side Light Indicator,Normal headlights or side lights are in use,"Confirms that the vehicle's marker lights or parking lights are currently illuminated.",car-dashboard-symbols-side-light-indicator-light.jpg
Rear Fog Lights Indicator,Rear fog lights are manually switched on,"Confirms rear fog lights are active to make the vehicle more visible from behind in heavy fog or rain.",car-dashboard-symbols-rear-fog-lights.jpg
Rain and Light Sensor Indicator,Issue with the rain and light sensor system,"The automatic wipers and automatic headlights will not function. The driver must operate them manually until fixed.",car-dashboard-symbols-rain-and-light-sensor.jpg
Windshield Defrost Indicator,Windshield defrost system is actively running,"Confirms the front windshield defroster or defogger is turned on to clear visibility.",car-dashboard-symbols-windshield-defrost.jpg
Washer Fluid Reminder,Windscreen washer fluid reservoir is nearly empty,"The driver should fill the washer fluid reservoir as soon as possible to maintain clear windshield visibility.",car-dashboard-symbols-water-fluid-reminder.jpg
Rear Window Defrost Indicator,Rear window defrost is actively running,"Confirms the rear window defroster heating grid is turned on to clear fog or ice.",car-dashboard-symbols-rear-window-defrost.jpg
Low Fuel Level Indicator,Car is running low on fuel,"The driver will soon need a refill. Stop at the nearest gas station.",car-dashboard-symbols-low-fuel-level.jpg
Key Not in Vehicle Indicator,Key is not detected inside the car,"Ensure the key fob is inside the vehicle to start the engine or continue driving safely.",car-dashboard-symbols-key-not-in-vehicle.jpg
Hood/Bonnet Open Indicator,Car hood is not closed properly,"The driver should pull over safely and securely press the hood down until it clicks closed.",car-dashboard-symbols-hood-bonnet-open.jpg
Hazard Lights On Indicator,Hazard lights are manually turned on,"Indicates all turn signals are flashing simultaneously to warn other drivers of a hazard or emergency.",car-dashboard-symbols-hazard-lights-on.jpg
Fan Indicator,Internal ventilation or fan is in operation,"Confirms the climate control fan is actively running inside the cabin.",car-dashboard-symbols-fan-green.jpg
Door Ajar Indicator,One or more doors are not shut properly,"The driver should check all doors and ensure they are fully closed before driving.",car-dashboard-symbols-door-ajar.jpg
Direction/Signal Indicators,Left or right turn signal has been activated,"Flashes to indicate the driver's intention to turn or change lanes.",car-dashboard-symbols-direction-signal-indicators.jpg
Car on Ramp Indicator,Vehicle is on a ramp or jack system,"Often indicates service mode is active or the vehicle has been lifted for maintenance.",car-dashboard-symbols-car-on-ramp.jpg
Recirculated Cabin Air Indicator,Ventilation system is recirculating air from within the vehicle,"Suitable for keeping outside odors out of the cabin or warming up the interior faster when it is particularly cold outside.",car-dashboard-symbols-recirculated-cabin-air.jpg
Rear Spoiler Warning Indicator,Fault in the rear spoiler system,"The active rear spoiler may not deploy or retract correctly, potentially affecting aerodynamics at high speeds.",car-dashboard-symbols-rear-spoiler-warning.jpg
Parking with Park Assist Pilot Indicator,Park Assist Pilot (PAP) is manually activated,"The vehicle is currently using automated steering assistance to help park.",car-dashboard-symbols-parking-with-park-assist-pilot.jpg
Lane Departure Warning,Vehicle is moving out of its current lane without signaling,"Alerts the driver to correct the steering to stay safely within the lane markings.",car-dashboard-symbols-lane-departure-warning.jpg
Lane Assist Indicator,Lane assist system is switched on | Road markings are successfully detected,"Confirms the system is actively monitoring the road lines to help keep the vehicle centered.",car-dashboard-symbols-lane-assist.jpg
Key Fob Battery Low Indicator,Key fob battery is running low,"The driver should replace the key fob battery to ensure remote functions and keyless start continue working.",car-dashboard-symbols-key-fob-battery-low.jpg
Ignition Switch Warning Indicator,Issue with the ignition system | Issue with the car key | Glitch in the system | Worn out key,"The vehicle may fail to start or experience power issues. The ignition switch and key need to be inspected.",car-dashboard-symbols-ignition-switch-warning.jpg
Hill Descent Control Indicator,Hill descent system is manually activated,"Helps maintain a specific, safe speed while driving down steep inclines without the driver needing to ride the brakes.",car-dashboard-symbols-hill-descent-control.jpg
Forward Collision Warning Indicator,Potential forward collision is detected,"Alerts the driver to brake immediately or take evasive action to avoid an accident.",car-dashboard-symbols-forward-collision.jpg
Eco Driving Indicator,Eco driving function is manually activated,"Confirms the vehicle is operating in a fuel-efficient mode, adjusting engine and climate response.",car-dashboard-symbols-eco-driving-indicator.jpg
Cruise Control Indicator,Cruise control system is manually activated,"Confirms the vehicle will maintain the set speed automatically.",car-dashboard-symbols-cruise-control.jpg
Convertible Roof Warning Light,Roof is actively opening or closing | Roof is not fully opened or closed | Fault in the roof system,"If lit continuously, it means the roof cycle is incomplete or there is a malfunction in the mechanism.",car-dashboard-symbols-convertible-roof-warning-light.jpg
Brake Hold Indicator,Brake hold system is functioning and engaged,"Confirms the car will automatically hold the brakes when stopped, allowing the driver to take their foot off the pedal.",car-dashboard-symbols-brake-hold-indicator.jpg
Blind Spot Indicator,Vehicle or obstruction detected in the blind spot,"Alerts the driver to avoid changing lanes until the blind spot is clear.",car-dashboard-symbols-blind-spot-indicator.jpg
Auto Windscreen Wiping Indicator,Windscreen wipers are operating on Automatic mode,"Confirms the rain sensors are actively managing the wiper speed.",car-dashboard-symbols-auto-windscreen-wiping.jpg
Automatic Emergency Braking (AEB) Indicator,AEB system is manually turned off | Radar sensor or cover is blocked with dirt or snow,"The vehicle will not automatically brake for emergencies. The driver should clean the front sensors or turn the system back on.",car-dashboard-symbols-automatic-emegency-braking.jpg
Adaptive Cruise Control Indicator,Adaptive Cruise Control (ACC) is in operation,"Confirms the vehicle is automatically maintaining a set following distance from the car ahead.",car-dashboard-symbols-adaptive-cruise-control.jpg
Winter Mode Indicator,Winter mode is manually activated,"Confirms the vehicle's transmission and traction settings are optimized for driving on icy or snowy roads.",car-dashboard-symbols-winter-mode.jpg
Start/Stop Warning Indicator,Intelligent Stop/Start system is active and engine has shut down,"Confirms the engine has temporarily stopped to save fuel at a standstill and will restart automatically.",car-dashboard-symbols-start-stop-warning.jpg
Speed Limiter Indicator,Speed limiter function is manually activated,"Confirms the vehicle is electronically restricted from exceeding the pre-set speed limit.",car-dashboard-symbols-speed-limiter.jpg
Seat Temperature Indicator,Air flow is distributed between front side window, windscreen and footwell vents,"(Note: The raw text from the site describes climate control airflow rather than seat heating, which is likely a typo on their end).",car-dashboard-symbols-seat-temperature.jpg
Glow Plug Indicator,Engine glow plugs are warming up | Worn out glow plug (if flashing) | Issue detected in the glow plug system,"For diesel engines. The driver should wait until the light goes out before starting the engine. If flashing, seek maintenance.",car-dashboard-symbols-glow-plug.jpg
Fuel Filter Warning,Diesel fuel filter is full,"The driver must empty or replace the fuel filter to avoid severe engine damage.",car-dashboard-symbols-fuel-filter-warning.jpg
Exhaust Fluid Indicator,Diesel exhaust fluid reservoir is low,"The driver needs to top up the exhaust fluid (AdBlue) soon to maintain proper emissions control.",car-dashboard-symbols-exhaust-fluid.jpg
AdBlue Tank Empty Indicator,AdBlue tank is completely empty,"The driver must fill the tank with exhaust fluid immediately. On many cars, the engine will refuse to restart if turned off.",car-dashboard-symbols-adblue-tank-empty.jpg
AdBlue Malfunction Indicator,AdBlue system is malfunctioning | System is filled with non-standard liquid,"Indicates a fault in the emissions reduction system. The vehicle requires professional servicing.",car-dashboard-symbols-adblue-tank-malfunction.jpg
Water Fluid Filter Warning,Water in the fuel filter has reached maximum capacity,"The driver should drain the water from the fuel filter immediately to prevent water from entering the engine.",car-dashboard-symbols-water-fluid-filter.jpg
